ID	adj.P.Val	P.Value	logFC	miRNA_ID
hsa-miR-548ad-3p	0.1252	0.0214706	0.67138	hsa-miR-548ad-3p
hsa-miR-892b	0.1274	0.0219949	-0.34387	hsa-miR-892b
hsa-miR-152-5p	0.131	0.022982	-0.34732	hsa-miR-152-5p
hsa-miR-5001-5p	0.131	0.022982	-0.34732	hsa-miR-5001-5p
hsa-miR-3179	0.131	0.0230958	-0.7397	hsa-miR-3179
hsa-miR-637	0.1313	0.0233025	-0.46927	hsa-miR-637
hsa-miR-187-3p	0.1378	0.024627	-0.88101	hsa-miR-187-3p
hsa-miR-508-3p	0.1416	0.0256351	-0.60466	hsa-miR-508-3p
hsa-miR-26a-5p	0.1416	0.025654	0.58811	hsa-miR-26a-5p
hsa-miR-619-3p	0.1444	0.0263398	-0.45895	hsa-miR-619-3p
hsa-miR-6720-3p	0.1453	0.026673	-1.00123	hsa-miR-6720-3p
hsa-miR-208b-3p	0.1457	0.0270769	-0.86708	hsa-miR-208b-3p
hsa-miR-146b-3p	0.1457	0.0271075	-1.18847	hsa-miR-146b-3p
hsa-miR-1302	0.147	0.0275196	-0.53115	hsa-miR-1302
hsa-miR-27b-3p	0.149	0.0280781	1.12645	hsa-miR-27b-3p
hsa-miR-1245a	0.1512	0.0287069	-0.33481	hsa-miR-1245a
hsa-miR-3158-3p	0.1512	0.0288634	-1.38374	hsa-miR-3158-3p
hsa-miR-514b-3p	0.1512	0.0290304	-0.33178	hsa-miR-514b-3p
hsa-miR-3916	0.156	0.0301434	-0.57996	hsa-miR-3916
LIG_NEG_B	0.1579	0.0307024	0.91504	
hsa-let-7g-5p	0.1584	0.0315094	0.97124	hsa-let-7g-5p
hsa-miR-615-3p	0.1584	0.0318252	-0.7612	hsa-miR-615-3p
hsa-miR-149-5p	0.1584	0.0320141	-0.50223	hsa-miR-149-5p
hsa-miR-20a-5p+hsa-miR-20b-5p	0.1584	0.0323987	1.37148	hsa-miR-20a-5p+hsa-miR-20b-5p
hsa-miR-188-3p	0.1584	0.0324419	-0.41721	hsa-miR-188-3p
hsa-miR-2110	0.1584	0.0324419	-0.41721	hsa-miR-2110
hsa-miR-613	0.1584	0.0325672	-0.95422	hsa-miR-613
hsa-miR-1249-3p	0.1584	0.0327084	-0.33554	hsa-miR-1249-3p
hsa-miR-330-5p	0.1584	0.0327084	-0.33554	hsa-miR-330-5p
hsa-miR-498	0.1584	0.0327084	-0.33554	hsa-miR-498
hsa-miR-548d-5p	0.1644	0.0341474	-0.50343	hsa-miR-548d-5p
hsa-miR-29b-3p	0.1644	0.0346382	1.42121	hsa-miR-29b-3p
hsa-miR-302a-3p	0.1644	0.0347498	-0.5216	hsa-miR-302a-3p
hsa-miR-4524a-5p	0.1644	0.0347498	-0.5216	hsa-miR-4524a-5p
hsa-miR-198	0.1663	0.035418	-0.72356	hsa-miR-198
hsa-miR-323a-5p	0.1663	0.0355481	-0.33123	hsa-miR-323a-5p
hsa-miR-106b-5p	0.185	0.0397663	1.14422	hsa-miR-106b-5p
hsa-miR-134-3p	0.1879	0.0406183	-0.50441	hsa-miR-134-3p
hsa-miR-4431	0.1935	0.0420616	-0.39523	hsa-miR-4431
hsa-miR-191-5p	0.1942	0.0424502	1.47703	hsa-miR-191-5p
hsa-miR-580-3p	0.1958	0.0430324	-0.3164	hsa-miR-580-3p
hsa-miR-362-3p	0.197	0.043539	-0.44491	hsa-miR-362-3p
hsa-miR-556-5p	0.1992	0.0442749	-0.60155	hsa-miR-556-5p
hsa-miR-378d	0.2066	0.0465979	-0.61167	hsa-miR-378d
hsa-miR-643	0.2066	0.0466122	-0.32079	hsa-miR-643
hsa-miR-523-3p	0.2066	0.0466553	-0.65013	hsa-miR-523-3p
hsa-miR-1233-3p	0.21	0.0478854	-0.43476	hsa-miR-1233-3p
hsa-miR-515-5p	0.21	0.0487924	-0.76681	hsa-miR-515-5p
hsa-miR-1301-3p	0.21	0.0497031	-0.30058	hsa-miR-1301-3p
hsa-miR-181a-2-3p	0.21	0.0497031	-0.30058	hsa-miR-181a-2-3p
hsa-miR-2113	0.21	0.0497031	-0.30058	hsa-miR-2113
hsa-miR-4448	0.21	0.0497031	-0.30058	hsa-miR-4448
hsa-miR-4792	0.21	0.0497031	-0.30058	hsa-miR-4792
hsa-miR-6503-3p	0.21	0.0497031	-0.30058	hsa-miR-6503-3p
